sentence_id	token_id	token	surprisal
1	1	The	0.0
1	2	cop	16.507343
1	3	is	5.867473
1	4	arresting	15.027649
1	5	the	3.764813
1	6	criminal	13.766537
1	7	.	5.132059
2	1	The	0.0
2	2	criminal	13.226506
2	3	is	10.679176
2	4	arresting	17.066084
2	5	the	3.042783
2	6	cop	14.535451
2	7	.	1.988955
3	1	The	0.0
3	2	babysitter	21.064697
3	3	is	6.247805
3	4	scolding	22.4722
3	5	the	5.511667
3	6	child	12.877176
3	7	.	2.339153
4	1	The	0.0
4	2	child	12.633577
4	3	is	5.129235
4	4	scolding	22.780317
4	5	the	5.544662
4	6	babysitter	20.896128
4	7	.	1.957024
5	1	The	0.0
5	2	doctor	12.967767
5	3	is	5.521709
5	4	using	8.310647
5	5	a	2.720065
5	6	stethoscope	19.461201
5	7	on	4.79665
5	8	the	1.492139
5	9	patient	9.749193
5	10	.	2.20023
6	1	The	0.0
6	2	patient	13.039375
6	3	is	5.353872
6	4	using	8.247725
6	5	a	2.789497
6	6	stethoscope	19.533075
6	7	on	4.889436
6	8	the	1.494928
6	9	doctor	10.476485
6	10	.	2.241146
7	1	The	0.0
7	2	fireman	19.945724
7	3	is	5.004963
7	4	rescuing	19.349712
7	5	the	1.997391
7	6	grandmother	15.599607
7	7	.	2.138452
8	1	The	0.0
8	2	grandmother	17.979548
8	3	is	5.88287
8	4	rescuing	20.043629
8	5	the	2.209141
8	6	fireman	16.155655
8	7	.	1.534407
9	1	The	0.0
9	2	dentist	16.069796
9	3	is	5.330283
9	4	treating	12.762532
9	5	the	2.767553
9	6	patient	9.007682
9	7	.	2.116537
10	1	The	0.0
10	2	patient	13.039375
10	3	is	5.353872
10	4	treating	10.888692
10	5	the	2.827995
10	6	dentist	12.93231
10	7	.	2.048236
11	1	The	0.0
11	2	ghost	15.088065
11	3	is	7.008862
11	4	frightening	13.765057
11	5	the	7.060502
11	6	girl	12.47693
11	7	.	3.346021
12	1	The	0.0
12	2	girl	14.429702
12	3	is	5.5846
12	4	frightening	14.857448
12	5	the	6.177555
12	6	ghost	12.257099
12	7	.	3.230258
13	1	The	0.0
13	2	mother	12.905689
13	3	is	5.842149
13	4	feeding	14.032056
13	5	the	2.234341
13	6	baby	9.236078
13	7	.	2.630217
14	1	The	0.0
14	2	baby	12.580645
14	3	is	6.197376
14	4	feeding	14.420663
14	5	the	2.283795
14	6	mother	11.566785
14	7	.	2.819741
15	1	The	0.0
15	2	artist	13.245826
15	3	is	5.630434
15	4	painting	14.299672
15	5	the	2.981479
15	6	businessman	15.165697
15	7	.	2.541722
16	1	The	0.0
16	2	businessman	14.029622
