sentence_id	token_id	token	surprisal
1	1	The	0.0
1	2	raider	16.126535
1	3	caught	13.768415
1	4	the	2.927919
1	5	illness	18.236021
1	6	.	2.625253
2	1	The	0.0
2	2	illness	16.52627
2	3	caught	13.905573
2	4	the	3.543421
2	5	raider	17.64435
2	6	.	2.524419
3	1	The	0.0
3	2	illness	16.52627
3	3	was	6.434584
3	4	caught	11.535564
3	5	by	3.845843
3	6	the	1.779055
3	7	raider	17.034826
3	8	.	2.204291
4	1	The	0.0
4	2	raider	16.126535
4	3	was	6.858828
4	4	caught	9.732223
4	5	by	4.657726
4	6	the	2.054282
4	7	illness	15.523535
4	8	.	1.738425
5	1	The	0.0
5	2	UNK-LC-er	12.617924
5	3	contracted	19.542553
5	4	the	3.976366
5	5	disease	12.329785
5	6	.	1.623582
6	1	The	0.0
6	2	disease	12.310042
6	3	contracted	15.216
6	4	the	5.000336
6	5	UNK-LC-er	12.274076
6	6	.	2.456463
7	1	The	0.0
7	2	disease	12.310042
7	3	was	5.606792
7	4	contracted	12.766726
7	5	by	3.519919
7	6	the	1.944447
7	7	UNK-LC-er	12.456654
7	8	.	2.853451
8	1	The	0.0
8	2	UNK-LC-er	12.617924
8	3	was	7.789023
8	4	contracted	14.434339
8	5	by	3.920367
8	6	the	2.104912
8	7	disease	13.245889
8	8	.	1.353071
9	1	The	0.0
9	2	convict	18.466299
9	3	dreaded	18.354811
9	4	the	3.263975
9	5	prison	12.584933
9	6	.	2.267593
10	1	The	0.0
10	2	prison	14.406759
10	3	dreaded	18.345064
10	4	the	4.36677
10	5	convict	15.116185
10	6	.	2.216376
11	1	The	0.0
11	2	prison	14.406759
11	3	was	6.391644
11	4	dreaded	17.828552
11	5	by	3.673891
11	6	the	1.631487
11	7	convict	14.167333
11	8	.	2.243259
12	1	The	0.0
12	2	convict	18.466299
12	3	was	6.415277
12	4	dreaded	17.081194
12	5	by	3.529224
12	6	the	1.897441
12	7	prison	12.162709
12	8	.	2.119484
13	1	The	0.0
13	2	criminal	13.226506
13	3	feared	21.20229
13	4	the	6.086338
13	5	jail	13.937981
13	6	.	2.873783
14	1	The	0.0
14	2	jail	16.126394
14	3	feared	19.33766
14	4	the	4.718433
14	5	criminal	10.360366
14	6	.	8.117844
15	1	The	0.0
15	2	jail	16.126394
15	3	was	5.917892
15	4	feared	13.324726
15	5	by	4.496686
15	6	the	1.542393
15	7	criminal	10.867574
15	8	.	7.747859
16	1	The	0.0
16	2	criminal	13.226506
16	3	was	11.910576
16	4	feared	12.45481
16	5	by	4.163815
16	6	the	1.597039
16	7	jail	15.347418
16	8	.	1.84607
17	1	The	0.0
17	2	prostitute	18.322639
17	3	squandered	21.629148
17	4	the	2.706944
17	5	cash	10.534254
17	6	.	2.675878
18	1	The	0.0
18	2	cash	10.832438
18	3	squandered	22.105261
18	4	the	5.732392
18	5	prostitute	19.717936
18	6	.	2.110893
19	1	The	0.0
19	2	cash	10.832438
19	3	was	8.056834
19	4	squandered	16.647232
19	5	by	4.073829
19	6	the	1.727368
19	7	prostitute	18.189127
19	8	.	1.967188
20	1	The	0.0
20	2	prostitute	18.322639
20	3	was	6.346083
20	4	squandered	17.290154
20	5	by	4.328049
20	6	the	1.791129
20	7	cash	12.555544
20	8	.	2.82409
21	1	The	0.0
21	2	call	12.11085
21	3	girl	18.466833
21	4	wasted	16.43786
21	5	the	4.959496
21	6	money	6.88862
21	7	.	2.191942
22	1	The	0.0
22	2	money	9.109919
22	3	wasted	17.187086
22	4	the	6.520807
22	5	call	10.855906
22	6	girl	18.748573
22	7	.	2.878582
23	1	The	0.0
23	2	money	9.109919
23	3	was	6.948503
23	4	wasted	10.473741
23	5	by	4.612701
23	6	the	1.700802
23	7	call	14.350155
23	8	girl	19.112772
23	9	.	2.720826
24	1	The	0.0
24	2	call	12.11085
24	3	girl	18.466833
24	4	was	6.272474
24	5	wasted	13.642195
24	6	by	4.912979
24	7	the	1.916678
24	8	money	10.507782
24	9	.	1.924696
25	1	The	0.0
25	2	adventurer	20.021008
25	3	requested	16.574074
25	4	the	4.683645
25	5	beverage	17.345249
25	6	.	3.616298
26	1	The	0.0
26	2	beverage	15.91754
26	3	requested	17.702766
26	4	the	7.070492
26	5	adventurer	20.544231
26	6	.	1.827888
27	1	The	0.0
27	2	beverage	15.91754
27	3	was	7.920376
27	4	requested	13.148374
27	5	by	2.752512
27	6	the	1.698484
27	7	adventurer	20.998449
27	8	.	1.762046
28	1	The	0.0
28	2	adventurer	20.021008
28	3	was	6.710639
28	4	requested	13.491749
28	5	by	2.638112
28	6	the	1.664835
28	7	beverage	17.729649
28	8	.	5.765557
29	1	The	0.0
29	2	undertaker	17.581509
29	3	prepared	14.498278
29	4	the	6.802465
29	5	funeral	12.794727
29	6	.	3.129592
30	1	The	0.0
30	2	funeral	14.579636
30	3	prepared	16.921162
30	4	the	8.088047
30	5	undertaker	17.472158
30	6	.	2.393993
31	1	The	0.0
31	2	funeral	14.579636
31	3	was	7.338783
31	4	prepared	11.470829
31	5	by	4.3764
31	6	the	1.669665
31	7	undertaker	16.344797
31	8	.	1.719048
32	1	The	0.0
32	2	undertaker	17.581509
32	3	was	5.991947
32	4	prepared	10.471026
32	5	by	5.108864
32	6	the	1.716758
32	7	funeral	12.183256
32	8	.	2.980714
33	1	The	0.0
33	2	mortician	19.736877
33	3	arranged	14.352736
33	4	the	4.069646
33	5	burial	15.318874
33	6	.	3.835924
34	1	The	0.0
34	2	burial	16.975552
34	3	arranged	16.077719
34	4	the	6.320153
34	5	mortician	19.367546
34	6	.	2.595736
35	1	The	0.0
35	2	burial	16.975552
35	3	was	8.272017
35	4	arranged	10.446387
35	5	by	2.726797
35	6	the	1.534003
35	7	mortician	18.624834
35	8	.	1.88108
36	1	The	0.0
36	2	mortician	19.736877
36	3	was	6.624445
36	4	arranged	13.112946
36	5	by	2.812307
36	6	the	1.798567
