sentence_id	token_id	token	surprisal
1	1	The	0.0
1	2	actor	14.968037
1	3	won	11.775848
1	4	the	3.046977
1	5	battle	9.53739
1	6	.	2.074499
2	1	The	0.0
2	2	actor	14.968037
2	3	won	11.775848
2	4	the	3.046977
2	5	award	10.658655
2	6	.	2.09804
3	1	The	0.0
3	2	anchorman	19.782864
3	3	told	9.398808
3	4	the	2.392669
3	5	parable	18.710239
3	6	.	5.929293
4	1	The	0.0
4	2	anchorman	19.782864
4	3	told	9.398808
4	4	the	2.392669
4	5	news	7.446299
4	6	.	4.073204
5	1	The	0.0
5	2	animal	13.960044
5	3	found	11.999892
5	4	the	3.948385
5	5	map	14.57786
5	6	.	2.749524
6	1	The	0.0
6	2	animal	13.960044
6	3	found	11.999892
6	4	the	3.948385
6	5	food	10.902449
6	6	.	4.201524
7	1	The	0.0
7	2	ant	19.979069
7	3	stacked	17.901335
7	4	the	5.021717
7	5	suitcase	14.861268
7	6	.	1.731741
8	1	The	0.0
8	2	ant	19.979069
8	3	stacked	17.901335
8	4	the	5.021717
8	5	supply	11.816064
8	6	.	3.100842
9	1	The	0.0
9	2	archeologist	22.464739
9	3	examined	17.459019
9	4	the	2.867889
9	5	dog	13.273757
9	6	.	2.358372
10	1	The	0.0
10	2	archeologist	22.464739
10	3	examined	17.459019
10	4	the	2.867889
10	5	epigraph	22.068342
10	6	.	3.132683
11	1	The	0.0
11	2	UNK-LC-er	12.617924
11	3	released	16.784357
11	4	the	4.85139
11	5	interview	11.546399
11	6	.	1.510308
12	1	The	0.0
12	2	UNK-LC-er	12.617924
12	3	released	16.784357
12	4	the	4.85139
12	5	arrow	18.254278
12	6	.	2.368888
13	1	The	0.0
13	2	artist	13.245826
13	3	assembled	15.460702
13	4	the	4.463649
13	5	tent	13.510381
13	6	.	2.362879
14	1	The	0.0
14	2	artist	13.245826
14	3	assembled	15.460702
14	4	the	4.463649
14	5	art	10.613348
14	6	.	3.239746
15	1	The	0.0
15	2	artist	13.245826
15	3	hung	15.997091
15	4	the	5.806833
15	5	motorcycle	14.523518
15	6	.	2.980141
16	1	The	0.0
16	2	artist	13.245826
16	3	hung	15.997091
16	4	the	5.806833
16	5	picture	8.336528
16	6	.	2.578807
17	1	The	0.0
17	2	assistant	13.922644
17	3	helped	15.814515
17	4	the	3.924424
17	5	soldier	15.632668
17	6	.	3.435414
18	1	The	0.0
18	2	assistant	13.922644
18	3	helped	15.814515
18	4	the	3.924424
18	5	cook	18.225246
18	6	.	2.85317
19	1	The	0.0
19	2	astronaut	19.243296
19	3	reached	14.204653
19	4	the	2.863184
19	5	baker	19.389881
19	6	.	3.184144
20	1	The	0.0
20	2	astronaut	19.243296
20	3	reached	14.204653
20	4	the	2.863184
20	5	moon	12.989874
20	6	.	2.004361
21	1	The	0.0
21	2	astronaut	19.243296
21	3	touched	16.645098
21	4	the	4.306839
21	5	guitar	13.613835
21	6	.	2.511717
22	1	The	0.0
22	2	astronaut	19.243296
22	3	touched	16.645098
22	4	the	4.306839
22	5	ground	9.835386
22	6	.	2.784465
23	1	The	0.0
23	2	athlete	17.961658
23	3	celebrated	15.796804
23	4	the	3.621055
23	5	marriage	11.529329
23	6	.	2.090376
24	1	The	0.0
24	2	athlete	17.961658
24	3	celebrated	15.796804
24	4	the	3.621055
24	5	victory	12.482986
24	6	.	2.444182
25	1	The	0.0
25	2	athlete	17.961658
25	3	started	11.200727
25	4	the	4.130971
25	5	vacuum	14.644611
25	6	.	1.658829
26	1	The	0.0
26	2	athlete	17.961658
26	3	started	11.200727
26	4	the	4.130971
26	5	match	11.936423
26	6	.	1.761311
27	1	The	0.0
27	2	athlete	17.961658
27	3	won	10.685791
27	4	the	2.94943
27	5	toy	14.088618
27	6	.	2.950644
28	1	The	0.0
28	2	athlete	17.961658
28	3	won	10.685791
28	4	the	2.94943
28	5	cup	11.540318
28	6	.	2.356883
29	1	The	0.0
29	2	author	11.49136
29	3	signed	13.321626
29	4	the	4.56953
29	5	check	11.018068
29	6	.	2.782875
30	1	The	0.0
30	2	author	11.49136
30	3	signed	13.321626
30	4	the	4.56953
30	5	book	7.225977
30	6	.	2.811473
31	1	The	0.0
31	2	baker	17.339138
31	3	gathered	14.771876
31	4	the	6.183798
31	5	soldier	15.793489
31	6	.	2.627431
32	1	The	0.0
32	2	baker	17.339138
32	3	gathered	14.771876
32	4	the	6.183798
32	5	bread	14.385745
32	6	.	2.584407
33	1	The	0.0
33	2	baker	17.339138
33	3	sold	11.24229
33	4	the	3.900198
33	5	stroller	17.685982
33	6	.	2.319341
34	1	The	0.0
34	2	baker	17.339138
34	3	sold	11.24229
34	4	the	3.900198
34	5	bread	12.763554
34	6	.	2.623572
35	1	The	0.0
35	2	bank	9.00043
35	3	assigned	14.927723
35	4	the	3.950207
35	5	book	10.201244
35	6	.	2.892685
36	1	The	0.0
36	2	bank	9.00043
36	3	assigned	14.927723
36	4	the	3.950207
36	5	code	12.725305
36	6	.	3.129303
37	1	The	0.0
37	2	barber	18.466751
37	3	cut	13.234217
37	4	the	4.663431
37	5	cake	12.822458
37	6	.	2.455508
38	1	The	0.0
38	2	barber	18.466751
38	3	cut	13.234217
38	4	the	4.663431
38	5	hair	10.639429
38	6	.	2.948974
39	1	The	0.0
39	2	barber	18.466751
39	3	used	9.713278
39	4	the	5.398889
39	5	microscope	16.791384
39	6	.	2.204735
40	1	The	0.0
40	2	barber	18.466751
40	3	used	9.713278
40	4	the	5.398889
40	5	razor	12.494856
40	6	.	3.21865
41	1	The	0.0
41	2	bartender	17.449051
41	3	handed	14.466708
41	4	the	3.60264
41	5	UNK-LC	9.177091
41	6	.	3.549569
42	1	The	0.0
42	2	bartender	17.449051
42	3	handed	14.466708
42	4	the	3.60264
42	5	drink	13.815899
42	6	.	3.876894
43	1	The	0.0
43	2	bartender	17.449051
43	3	shook	16.064631
43	4	the	3.038669
43	5	flag	9.913177
43	6	.	1.920658
44	1	The	0.0
44	2	bartender	17.449051
44	3	shook	16.064631
44	4	the	3.038669
44	5	drink	12.574999
44	6	.	2.253209
45	1	The	0.0
45	2	beautician	19.963764
45	3	spread	15.411937
45	4	the	4.435369
45	5	paint	12.96864
45	6	.	3.143577
46	1	The	0.0
46	2	beautician	19.963764
46	3	spread	15.411937
46	4	the	4.435369
46	5	cream	13.391006
46	6	.	3.322818
47	1	The	0.0
47	2	biker	19.954506
47	3	started	12.190313
47	4	the	3.895923
47	5	lesson	14.825193
47	6	.	3.067118
48	1	The	0.0
48	2	biker	19.954506
48	3	started	12.190313
48	4	the	3.895923
48	5	motorcycle	15.107936
48	6	.	2.885785
49	1	The	0.0
49	2	biker	19.954506
49	3	wore	13.371241
49	4	the	3.68133
49	5	swimsuit	15.038667
49	6	.	3.993963
50	1	The	0.0
50	2	biker	19.954506
50	3	wore	13.371241
50	4	the	3.68133
50	5	helmet	10.451879
50	6	.	2.202297
51	1	The	0.0
51	2	billionaire	16.349398
51	3	donated	16.839947
51	4	the	4.414659
51	5	book	9.607778
51	6	.	2.637952
52	1	The	0.0
52	2	billionaire	16.349398
52	3	donated	16.839947
52	4	the	4.414659
52	5	money	6.325743
52	6	.	2.828826
53	1	The	0.0
53	2	UNK-LC	9.832897
53	3	collected	15.885129
53	4	the	4.957045
53	5	flower	15.836106
53	6	.	2.980479
54	1	The	0.0
54	2	UNK-LC	9.832897
54	3	collected	15.885129
54	4	the	4.957045
54	5	trash	13.251464
54	6	.	2.203637
55	1	The	0.0
55	2	biologist	19.228989
55	3	used	10.394843
55	4	the	4.488935
55	5	razor	14.891887
55	6	.	3.453845
56	1	The	0.0
56	2	biologist	19.228989
56	3	used	10.394843
56	4	the	4.488935
56	5	microscope	17.345354
56	6	.	2.364387
57	1	The	0.0
57	2	UNK-LC	9.832897
57	3	poured	17.404306
57	4	the	4.440655
57	5	wine	11.839909
57	6	.	3.971575
58	1	The	0.0
58	2	UNK-LC	9.832897
58	3	poured	17.404306
58	4	the	4.440655
58	5	metal	11.008266
58	6	.	3.869567
59	1	The	0.0
59	2	bodybuilder	21.460146
59	3	lifted	17.291613
59	4	the	2.60717
59	5	flag	11.156981
59	6	.	2.346672
60	1	The	0.0
60	2	bodybuilder	21.460146
60	3	lifted	17.291613
60	4	the	2.60717
60	5	weight	10.540697
60	6	.	4.997589
61	1	The	0.0
61	2	boss	12.565614
61	3	assigned	13.645036
61	4	the	3.701847
61	5	medal	14.018944
61	6	.	2.832342
